budget,original_language,runtime,profit_level,Crime,TV Movie,Animation,Musical,Fantasy,Comedy,Documentary,Adventure,Foreign,Family,History,Drama,Action,Music,Romance,Western,Thriller,Horror,War,Science Fiction,Mystery,total_directed
237000000.0,1.902108768035516,162.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.0
300000000.0,1.902108768035516,169.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
245000000.0,1.902108768035516,148.0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
250000000.0,1.902108768035516,165.0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,8.0
260000000.0,1.902108768035516,132.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
258000000.0,1.902108768035516,139.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
260000000.0,1.902108768035516,100.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5
280000000.0,1.902108768035516,141.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0
250000000.0,1.902108768035516,153.0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
250000000.0,1.902108768035516,151.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
270000000.0,1.902108768035516,154.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8.0
200000000.0,1.902108768035516,106.0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,8.0
200000000.0,1.902108768035516,151.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
255000000.0,1.902108768035516,149.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0
225000000.0,1.902108768035516,143.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.0
225000000.0,1.902108768035516,150.0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
220000000.0,1.902108768035516,143.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0
380000000.0,1.902108768035516,136.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
225000000.0,1.902108768035516,106.0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.0
250000000.0,1.902108768035516,144.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
215000000.0,1.902108768035516,136.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
200000000.0,1.902108768035516,140.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0
250000000.0,1.902108768035516,161.0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
180000000.0,1.902108768035516,113.0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
207000000.0,1.902108768035516,187.0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9.0
200000000.0,1.902108768035516,194.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,7.0
250000000.0,1.902108768035516,147.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
209000000.0,1.902108768035516,131.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,6.0
150000000.0,1.902108768035516,124.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2.0
200000000.0,1.902108768035516,143.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,7.0
200000000.0,1.902108768035516,127.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
200000000.0,1.902108768035516,130.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
200000000.0,1.902108768035516,108.0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
210000000.0,1.902108768035516,104.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,10.0
200000000.0,1.902108768035516,104.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
150000000.0,1.902108768035516,150.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12.0
210000000.0,1.902108768035516,165.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12.0
200000000.0,1.902108768035516,130.0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
200000000.0,1.902108768035516,142.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
170000000.0,1.902108768035516,125.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
200000000.0,1.902108768035516,106.0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
200000000.0,1.902108768035516,114.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,8.0
200000000.0,1.902108768035516,103.0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
200000000.0,1.902108768035516,115.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6.0
190000000.0,1.902108768035516,137.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
200000000.0,1.902108768035516,116.0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,8.0
250000000.0,1.902108768035516,131.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8.0
190000000.0,1.902108768035516,132.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
195000000.0,1.902108768035516,114.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.0
105000000.0,1.902108768035516,143.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4.0
150000000.0,1.902108768035516,116.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7.0
180000000.0,1.902108768035516,131.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
195000000.0,1.902108768035516,154.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12.0
185000000.0,1.902108768035516,122.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27.0
175000000.0,1.902108768035516,93.0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
185000000.0,1.902108768035516,93.0,3,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1.3333333333333333
